label;29.12.2018;30.12.2018;31.12.2018;01.01.2019;02.01.2019;03.01.2019;04.01.2019;05.01.2019;06.01.2019;07.01.2019;08.01.2019;09.01.2019;10.01.2019;11.01.2019;12.01.2019;13.01.2019;14.01.2019;15.01.2019;16.01.2019;17.01.2019;18.01.2019;19.01.2019;20.01.2019;21.01.2019;22.01.2019;23.01.2019;24.01.2019;25.01.2019;26.01.2019;27.01.2019;28.01.2019;29.01.2019;КОЛ-ВО;СУММА
доступ открытие специалист аппарат кредитный;;;;;;;;;;;;;;;;;;;;20;;;;14;;;;;;;;;2;34
доступ открытие ул кредитный аппарат;12;1;1;;;;;;;;;;;28;;;;32;30;;18;1;;;;26;;23;6;;27;29;10;220
доступ офис закрытие закрыть аппарат;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;1
доступ рг московский офис специализированный;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1
досье документ кредитный выдавать ошибка;;;;;;;;;;;;;;;;;147;26;12;8;;3;;;;;;;;;;;5;196
досье документ фотоальбом ошибка кредитный;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;1;8
досье кредитного кредитный документ ошибка;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
досье открываться кредитный кредитного ошибка;8;;;;;;;;;;;;5;8;;;;;;;;;;;;;;;7;;;;3;20
единый ЕРКЦ телемаркетинг распределенный московский;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;2
заблокировать установка #LOGON разблокировать стратегия;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;1;5
заблокировать установка деньга договор кредит;;;;;;;;;;;;;;;;;;;;;374;;;;;;;;;;;;1;374
загружаться фотоальбом документ кредитный ошибка;;;;;;;;;;;;;;;;;26;;;;2;;;;;;;;;;;;2;28
загрузить документ досье кредитный ошибка;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;2;2
загрузить документ фотоальбом досье ошибка;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;1;3
загрузить фотоальбом документ ошибка кредитный;;;;;;;;;;;;;;;;;46;1;;;;;;;;;;;;;;;2;47
загрузка фотоальбом выходить ошибка документ;;;;;;;;;;;;;;;;;20;;1;1;1;;;;;;;;;;;;4;23
задолженность верификатор бэк проблемной работа;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;1;5
задолженность проблемной досудебного погашение работа;;;;;;;;;;;;;;4;;1;;3;1;2;;3;;;;;;;;;;;6;14
задолженность проблемной исполнительного судебный производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;2
задолженность проблемной отделение увольнение досудебного;;;;;;;;;;;;;;;;;;;;;;;;;6;1;;;;;;;2;7
зайти фотоальбом досье ошибка кредитный;;;;;;;;;;;;;;;;;;4;1;1;1;;;;;;;;;;;;4;7
