label;29.12.2018;30.12.2018;31.12.2018;01.01.2019;02.01.2019;03.01.2019;04.01.2019;05.01.2019;06.01.2019;07.01.2019;08.01.2019;09.01.2019;10.01.2019;11.01.2019;12.01.2019;13.01.2019;14.01.2019;15.01.2019;16.01.2019;17.01.2019;18.01.2019;19.01.2019;20.01.2019;21.01.2019;22.01.2019;23.01.2019;24.01.2019;25.01.2019;26.01.2019;27.01.2019;28.01.2019;29.01.2019;КОЛ-ВО;СУММА
центр центральный подчинение закрытие закрыть;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;1;;2;11
центрально-чернозёмный народный СБ бульвар производственный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1
центральный подчинение центр закрытие доступ;;;;;;;;;;;;;;;;;;;;;;;;;;3;;7;2;;;;3;12
цзк ЕРКЦ декрет верификатор бэк;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;1;13
цпо кредитный премьер кмсп отделение;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1;7
цпо отделение модель ролевой премьер;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;1;8
цпо персонального премьер кмсп кредитный;;;;;;;;;;;;;13;9;1;;5;;;;;;;;6;;;;1;;;;6;35
цпо премьер кмсп кредитный персонального;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;1;16
шапка пришлый затем высвечиваться логинписать;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
экспертиза риск розничного межрегиональный подчинение;;;;;;;;;;;;;;;;;;;1;;;;;;;6;4;4;;;;4;5;19
юр юридический рг специализированный московский;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
